,0,1,2,3,4,5,6,7,mammal
0,5.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,Opossum
1,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,Hairy tail mole
2,3.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,Common mole
3,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,Star nose mole
4,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,Brown bat
5,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,Silver hair bat
6,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,Pigmy bat
7,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,House bat
8,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,Red bat
9,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,Hoary bat
10,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,Lump nose bat
11,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,Armadillo
12,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,Pika
13,2.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,Snowshoe rabbit
14,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Beaver
15,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Marmot
16,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Groundhog
17,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Prairie dog
18,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Ground squirrel
19,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,Chipmunk
20,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Gray squirrel
21,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Fox squirrel
22,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Pocket gopher
23,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Kangaroo rat
24,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,Pack rat
25,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,Field mouse
26,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,Muskrat
27,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,Black rat
28,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,House mouse
29,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Porcupine
30,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,Guinea pig
31,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,Coyote
32,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,Wolf
33,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,Fox
34,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,Bear
35,3.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,Civet cat
36,3.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,Raccoon
37,3.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,Marten
38,3.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,Fisher
39,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,Weasel
40,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,Mink
41,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,Ferrer
42,3.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,Wolverine
43,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,Badger
44,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,Skunk
45,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,River otter
46,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,Sea otter
47,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,Jaguar
48,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,Ocelot
49,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,Cougar
50,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,Lynx
51,3.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,Fur seal
52,3.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,Sea lion
53,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,Walrus
54,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,Grey seal
55,2.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,Elephant seal
56,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,Peccary
57,0.0,4.0,1.0,0.0,3.0,3.0,3.0,3.0,Elk
58,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Deer
59,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Moose
60,0.0,4.0,1.0,0.0,3.0,3.0,3.0,3.0,Reindeer
61,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Antelope
62,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Bison
63,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Mountain goat
64,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Muskox
65,0.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,Mountain sheep
